price;usable_area;parking_lots;terrace;balcony;loggia;cellar;ownership;low_energy;easy_access;garage;elevator;material_brick;material_panel;Prague_1;Prague_2;Prague_3;Prague_4;Prague_5;Prague_6;Prague_7;Prague_8;Prague_9;floor_ground;floor_above_ground;status_good;status_very_good;status_before_reconstruction;status_after_reconstruction;status_project;status_under_construction;kitchen_separately;ownership_private;nonresidential_unit;code;timestamp
6776000;51;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1048020300;2025-01-29 17:40:05
17990000;98;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;181953868;2025-01-29 17:40:05
16900000;119;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;3370579788;2025-01-29 17:40:05
7900000;70;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1908602700;2025-01-29 17:40:05
11900000;55;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;3603964492;2025-01-29 20:27:25
8200000;45;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1794781772;2025-01-29 17:14:12
4870610;38;1;1;0;0;1;2;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3430298188;2025-01-29 17:24:40
5490000;35;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2146943564;2025-01-29 17:40:05
9790000;57;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;4041638476;2025-01-29 17:40:05
10490000;60;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1830888012;2025-01-29 17:40:05
8500000;56;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;724378188;2025-01-29 17:40:05
8700000;72;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;3972002380;2025-01-29 17:40:05
5990000;60;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;196289100;2025-01-29 17:40:05
8950000;117;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;900375116;2025-01-29 17:40:05
7980000;64;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;2366752076;2025-01-29 17:40:05
7490000;45;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;2662933068;2025-01-29 17:40:05
5612853;37;0;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3422025036;2025-01-29 17:40:05
13343000;64;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1975132748;2025-01-29 17:40:05
5998000;45;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1791029836;2025-01-29 17:40:05
6890000;70;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;3971015244;2025-01-29 17:40:05
4500000;35;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;3964916300;2025-01-29 17:40:05
5800000;49;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1417007692;2025-01-29 17:40:05
7700000;64;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1698091596;2025-01-29 17:40:05
