Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
22415599;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;488160.0;K zámku;è.p.;207;;;19012;731528.12;1044351.75;2019-11-06T00:00:00
22415670;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487490.0;Podkrkonošská;è.p.;215;;;19012;732329.47;1045063.02;2017-06-22T00:00:00
22415823;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487635.0;V Èeòku;è.p.;230;;;19012;731549.28;1044313.67;2017-06-22T00:00:00
22415840;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487627.0;Úpická;è.p.;232;;;19012;732339.77;1044939.94;2024-09-11T00:00:00
22415955;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487589.0;Štìpanická;è.p.;244;;;19012;732394.01;1044849.53;2017-06-22T00:00:00
22415998;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487554.0;Strákovická;è.p.;249;;;19012;732429.14;1044957.48;2017-06-22T00:00:00
22416056;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487651.0;V Záhorském;è.p.;256;;;19012;732583.15;1044793.33;2017-06-22T00:00:00
22416145;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487643.0;V padolinì;è.p.;265;;;19012;730403.66;1044919.11;2017-06-22T00:00:00
22416277;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487511.0;Rtyòská;è.p.;278;;;19012;732368.75;1045112.24;2022-02-04T00:00:00
22416307;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487686.0;dírnická;è.p.;281;;;19012;732642.53;1045061.76;2017-06-22T00:00:00
22416323;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487597.0;Tøebihošská;è.p.;283;;;19012;732653.19;1044880.33;2021-01-05T00:00:00
22417249;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487414.0;Kohoutovská;è.p.;382;;;19012;732378.86;1044696.5;2017-06-22T00:00:00
22417435;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;488101.0;Bezdìkovská;è.p.;401;;;19012;730046.19;1044894.15;2017-06-22T00:00:00
22417508;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487503.0;Pøíchovická;è.p.;408;;;19012;729900.73;1044840.11;2017-06-22T00:00:00
22417559;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487619.0;U vızkumu;è.p.;413;;;19012;729799.5;1044809.25;2017-06-22T00:00:00
22417745;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487431.0;Libotovská;è.p.;436;;;19012;730333.38;1044883.86;2017-07-11T00:00:00
22417842;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487422.0;Lanovská;è.p.;446;;;19012;732246.81;1044456.64;2017-06-22T00:00:00
22417931;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;488151.0;K èihadlùm;è.p.;455;;;19012;731590.68;1044225.11;2017-06-22T00:00:00
22418164;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;487678.0;Za luhem;è.p.;478;;;19012;731592.05;1044138.79;2021-07-28T00:00:00
22418768;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;504211.0;V paøezinách;è.p.;541;;;19012;730026.07;1044811.63;2017-06-22T00:00:00
22419233;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;738042.0;U koní;è.p.;592;;;19012;731803.11;1044187.21;2017-06-22T00:00:00
22419951;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;817571.0;Madarova;è.ev.;2;;;19012;731762.85;1043541.14;2020-07-31T00:00:00
22420312;554782;Praha;538175;Praha-Dolní Poèernice;94;Praha 9;29955;Dolní Poèernice;488178.0;Ke hrázi;è.ev.;102;;;19012;731768.0;1044623.27;2017-06-22T00:00:00
22420495;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;447927.0;Hloubìtínská;è.p.;1;38.0;;19800;734447.43;1042146.35;2017-06-14T00:00:00
22420517;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;476200.0;V chaloupkách;è.p.;10;76.0;;19800;734126.31;1042469.43;2017-06-29T00:00:00
22420525;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;445061.0;Èertouská;è.p.;11;1.0;;19800;734148.43;1042496.63;2017-06-29T00:00:00
22420541;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;485837.0;K náhonu;è.p.;15;2.0;;19800;734867.66;1042361.2;2018-04-04T00:00:00
22420576;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;465879.0;Podìbradská;è.p.;18;104.0;;19800;734549.01;1042142.64;2017-06-14T00:00:00
22420592;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;462055.0;Nehvizdská;è.p.;22;8.0;;19800;734353.02;1041860.23;2017-06-14T00:00:00
22420622;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;471119.0;Šestajovická;è.p.;1081;6.0;;19800;734243.74;1042556.54;2020-06-10T00:00:00
22420681;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;448281.0;Hostavická;è.p.;33;39.0;;19800;734204.93;1042556.65;2017-06-29T00:00:00
22420703;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;454087.0;Kyjská;è.p.;35;17.0;;19800;734290.03;1042609.2;2017-06-29T00:00:00
22420789;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;449261.0;Jahodnická;è.p.;53;19.0;;19800;735339.18;1043236.01;2017-06-29T00:00:00
22420843;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;450758.0;K Hutím;è.p.;64;;;19800;733416.68;1041837.98;2023-02-23T00:00:00
22420932;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;479870.0;Zeleneèská;è.p.;103;11.0;;19800;734536.59;1041716.29;2017-06-29T00:00:00
22421033;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;479543.0;Záluská;è.p.;116;10.0;;19800;734189.33;1041652.96;2017-06-29T00:00:00
22421157;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;465607.0;Pod turnovskou tratí;è.p.;131;5.0;;19800;734492.79;1042028.56;2017-06-29T00:00:00
22421165;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;456152.0;Mezitraová;è.p.;137;46.0;;19800;735706.07;1042505.5;2020-05-04T00:00:00
22421173;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;452700.0;Konzumní;è.p.;138;9.0;;19800;734688.79;1042044.2;2017-06-29T00:00:00
22421220;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;448192.0;Horoušanská;è.p.;143;3.0;;19800;734167.1;1042155.8;2017-06-29T00:00:00
22421301;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;456535.0;Mochovská;è.p.;155;20.0;;19800;734443.89;1041968.93;2017-06-14T00:00:00
22421564;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;451622.0;Kbelská;è.p.;192;14.0;;19800;734685.97;1041996.97;2017-06-29T00:00:00
22421611;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;498351.0;Milovická;è.p.;197;9.0;;19800;734603.73;1041972.07;2017-06-29T00:00:00
22421670;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;473201.0;U Elektry;è.p.;203;8.0;;19800;735547.32;1042072.21;2018-04-04T00:00:00
22421726;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;479047.0;Za mosty;è.p.;209;48.0;;19000;735286.6;1043098.57;2017-06-29T00:00:00
22421734;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;445282.0;Anny Èíkové;è.p.;210;7.0;;19800;734629.07;1042159.97;2017-06-29T00:00:00
22421823;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;468487.0;Sadská;è.p.;219;2.0;;19800;734656.77;1041867.07;2017-06-29T00:00:00
22421840;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;476536.0;V Novém Hloubìtínì;è.p.;221;9.0;;19800;734619.85;1041884.16;2017-06-29T00:00:00
22421912;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;476196.0;V humenci;è.p.;230;4.0;;19800;734556.58;1041932.75;2017-06-29T00:00:00
22422366;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;452025.0;Klánovická;è.p.;283;6.0;;19800;734242.97;1042240.48;2017-06-29T00:00:00
